generation,best_fitness,mean_fitness,std_fitness,best_individual,elapsed_s
0,0.5050501771549363,0.4561959803402734,0.02299974230471148,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.4123061094973908}",4.006
1,0.5050501771549363,0.4729554299675808,0.023959459068887738,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.4123061094973908}",7.147
2,0.5058418043588917,0.49698753781822064,0.010089474049434983,"{""n_estimators"": 550, ""max_depth"": 2, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.6814903835904668, ""colsample_bytree"": 0.5632335386888754, ""min_child_weight"": 5, ""gamma"": 1.197261551690294, ""scale_pos_weight"": 3.6495875169195644}",10.384
3,0.5062372769637321,0.4997577543664636,0.0065018268995187135,"{""n_estimators"": 550, ""max_depth"": 2, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.5057405109714098, ""min_child_weight"": 5, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 3.6495875169195644}",13.147
4,0.5062372769637321,0.5018174065739314,0.004743621514100302,"{""n_estimators"": 550, ""max_depth"": 2, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.5057405109714098, ""min_child_weight"": 5, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 3.6495875169195644}",16.209
5,0.5080134377656171,0.4986037422067122,0.016109157049604937,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 2.650173144180047, ""scale_pos_weight"": 2.4123061094973908}",19.147
6,0.5080134377656171,0.5008024562220562,0.007597833969688833,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 2.650173144180047, ""scale_pos_weight"": 2.4123061094973908}",21.506
7,0.5090909249531727,0.5060999994362552,0.0022453444339078036,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 3.6495875169195644}",24.106
8,0.5090909249531727,0.5048684592878132,0.008354185487879896,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 3.6495875169195644}",26.644
9,0.5090909249531727,0.5070119638985429,0.004401446046252271,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 3.6495875169195644}",28.539
